accession_id	contact_city	contact_country	contact_institute	available_date	last_update_date	overall_design	summary	platform_id	publishing_platform	title	experiment_type
GSE19697	St Louis	USA	Washington University School of Medicine	Public on Dec 30 2009	Mar 25 2019	Core biopsies were obtained from 86 patients prior to neoadjuvant therapy out of which 70 fulfilled the requirements to undergo expression analysis (24 of these 70 were used in the published analysis). pCR was defined as no residual invasive disease in the breast or lymph nodes. Residual in situ carcinoma was also considered as pCR. RNA was extracted from snap frozen 14-gauge core samples obtained from pre-treatment tumors. Specimens containing more than 40% of tumor on histological examination were analyzed.	A gene expression signature characterizes expression data from breast cancer samples of patients with pathological complete response (pCR) or residual disease (RD) following the neoadjuvant trial. + Several gene expression profiles have been reported to predict breast cancer response to neoadjuvant chemotherapy. These studies often consider breast cancer as a homogeneous entity, although higher rates of pathologic complete response (pCR) are known to occur within the basal-like subclass. We postulated that profiles with higher predictive accuracy could be derived from a subset analysis of basal-like tumors in isolation. Using a previously described ‘‘intrinsic’’ signature to differentiate breast tumor subclasses, we identified 50 basal-like tumors from two independent clinical trials associated with gene expression profile data. 24 tumor data sets (included in this GEO submission) were derived from a 119-patient neoadjuvant trial at our institution and an additional 26 tumor data sets were identified from a published data set (Hess et al. J Clin Oncol 24:4236–4244, 2006). The combined 50 basal-like tumors were partitioned to form a 37 sample training set with 13 sequestered for validation. Clinical surveillance occurred for a mean of 26 months. We identified a 23-gene profile which predicted pCR in basal-like breast cancers with 92% predictive accuracy in the sequestered validation data set. Furthermore, distinct cluster of patients with high rates of cancer recurrence was observed based on cluster analysis with the 23-gene signature. Disease-free survival analysis of these three clusters revealed significantly reduced survival in the patients of this high recurrence cluster. We identified a 23- gene signature which predicts response of basal-like breast cancer to neoadjuvant chemotherapy as well as disease-free survival. This signature is independent of tissue collection method and chemotherapeutic regimen. +  + Keywords: Disease state analysis	GPL570	GEO	An expression profile that predicts the therapeutic response of the basal-like breast cancer to neoadjuvant chemotherapy	Expression profiling by array
GSE20086	Madison	USA	University of Wisconsin	Public on Jan 29 2010	Mar 25 2019	Paired CAF and NF were isolated from six primary human breast carcinoma specimens. RNA was extracted from low-passage cultures of CAF and NF and analyzed with Affymetrix Human Genome U133 Plus 2.0 arrays. The array data were examined with an empirical Bayes model and filtered according to the posterior probability of equivalent expression and fold difference in expression.	Twenty-one genes (27 probe sets) were up-regulated in CAF, as compared with NF. Known functions of these genes relate to paracrine or intracellular signaling, transcriptional regulation, extracellular matrix and cell adhesion/migration. Ten genes (14 probe sets) were down-regulated in CAF, including the pluripotency transcription factor KLF4. Quantitative RT–PCR analysis of 10 genes validated the array results. Immunohistochemical staining for three gene products confirmed stromal expression in terms of location and relative quantity. Surprisingly, the variability of gene expression was slightly higher in NF than in CAF, suggesting inter-individual heterogeneity of normal stroma.	GPL570	GEO	Heterogeneity of gene expression in stromal fibroblasts of human breast carcinomas and normal breast	Expression profiling by array
GSE20181	San Diego	USA	Genomics Institute of the Novartis Research Foundation	Public on Jul 28 2010	Aug 10 2018	Biopsies were taken from the same subjects at three timepoints: pretreatment, after 10-14 days Letrozol (2.5 mg/day, oral), and after 90 days Letrozol (2.5 mg/day, oral).	In the present investigation, we have exploited the opportunity provided by neoadjuvant treatment of a group of postmenopausal women with large operable or locally advanced breast cancer (in which therapy is given with the primary tumour remaining within the breast) to take sequential biopsies of the same cancers before and after 10-14 days or 90 days treatment with letrozole.  RNA extracted from the biopsies has been subjected to Affymetrix microarray analysis and the data from paired biopsies interrogated to discover genes whose expression is most influenced by oestrogen deprivation. +  + Keywords: Timecourse between subjects	GPL96	GEO	Letrozole (Femara) early and late responses to treatment	Expression profiling by array
GSE20194	Shanghai	China	Fudan University	Public on Feb 04 2010	Jun 06 2022	Gene expression data from 230 stage I-III breast cancers	The human breast cancer (BR) data set (endpoints D and E) was contributed by the University of Texas M. D. Anderson Cancer Center (MDACC, Houston, TX, USA). Gene expression data from 230 stage I-III breast cancers were generated from fine needle aspiration specimens of newly diagnosed breast cancers before any therapy. The biopsy specimens were collected sequentially during a prospective pharmacogenomic marker discovery study between 2000 and 2008. These specimens represent 70-90% pure neoplastic cells with minimal stromal contamination. Patients received 6 months of preoperative (neoadjuvant) chemotherapy including paclitaxel, 5-fluorouracil, cyclophosphamide and doxorubicin followed by surgical resection of the cancer. Response to preoperative chemotherapy was categorized as a pathological complete response (pCR no residual invasive cancer in the breast or lymph nodes) or residual invasive cancer (RD), and used as endpoint D for prediction. Endpoint E is the clinical estrogen-receptor status as established by immunohistochemistry. RNA extraction and gene expression profiling were performed in multiple batches over time using Affymetrix U133A microarrays. Genomic analysis of a subset of this sequentially accrued patient population were reported previously. For each endpoint, the first 130 cases were used as a training set and the next 100 cases were used as an independent validation set.	GPL96	GEO	MAQC-II Project: human breast cancer (BR) data set	Expression profiling by array
GSE20271	Houston	USA	University of Texas M.D. Anderson Cancer Center	Public on Sep 15 2010	Jun 06 2022	Pre-treatment FNA from primary tumors or axillary lymph node metastases were obtained and RNA extracted and hybridized to afymetrix microarrays according to manufacturer protocol.	The behavior of breast cancers and their response to different chemotherapy treatments depend on their phenotype which is to a large extent determined by gene expression programs within the cancer cell. + We used gene expression values from 30 probes on affymetrix U133A chips to calculate a score that would predict if a breast cancer is likely to achieve pathological complete response to chemotherapy consisting of T/FAC.	GPL96	GEO	Expression data from breast cancer FNA biopsies from patients	Expression profiling by array
GSE2034	San Diego	USA	Veridex	Public on Feb 23 2005	Aug 10 2018	NA	This series represents 180 lymph-node negative relapse free patients and 106 lymph-node negate patients that developed a distant metastasis. + Please see attached patient clinical parameters sheet for more information. + Keywords: other	GPL96	GEO	Breast cancer relapse free survival	Expression profiling by array
GSE20437	Boston	USA	Boston University School of Medicine	Public on Jun 01 2010	Aug 10 2018	42 total laser capture microdissected histologically normal breast tissue samples were analyzed with Affymetrix HU133A microarrays. 36 samples were age-matched between reduction mammoplasty (n=18) and histologically normal epithelial samples from breast cancer patients (n=18; 9ER+, 9ER-). 6 histologically normal epithelial samples from prophylactic mastectomy patients were then compared to data generated from the original 36 sample comparison. Sample numbers correspond to individual patient samples.	Gene expression in histologically normal epithelium from breast cancer patients and cancer-free prophylactic mastectomy patients share a similar profile + Introduction: We hypothesized that gene expression in histologically normal epithelium (NlEpi) would differ in breast cancer patients (HN) compared to usual-risk controls undergoing reduction mammoplasty (RM), and that gene expression in NlEpi from cancer-free prophylactic mastectomies from high-risk women (PM), would resemble HN gene expression. Methods: We analyzed gene expression in 73 NlEpi samples microdissected from frozen tissue. In 42 cases, we used Affymetrix HU133A microarrays to compare gene expression in 18 RM vs 18 age-matched HN (9 ER+, 9 ER-) and 6 PM. Data were validated with qPCR in 31 independent NlEpi samples (8 RM, 17 HN, 6 PM). Results: 98 probesets (86 genes) were differentially expressed between RM and HN samples. Perfoming supervised hierarchical analysis with these 98 probesets, PM and HN samples clustered together, away from RM samples. qPCR validation of independent samples was high (84%) and uniform in RM vs HN, and lower (58%), but more heterogeneous, in RM vs PM. The 86 genes were implicated in many processes including transcription and the MAPK pathway. Conclusion: Gene expression differs between NlEpi of cancer cases and controls. The cancer cases'' profile can be discerned in high-risk NlEpi. This suggests that the profile is not an effect of the tumor, but may mark increased risk and reveal breast cancer''s earliest genomic changes. + We determined that 98 probesets significantly differed between reduction mammoplasty and histologically normal epithelium from breast cancer patients. We also found that the histologically normal epithelium from prophylactic mastectomy patients'' gene expression was more similar to histologically normal epithelium from breast cancer patients'' than to reduction mammoplasty patients'' gene expression. These results demonstrate that gene expression differs between NlEpi of cancer cases and controls. The cancer cases’ profile can be discerned in high-risk NlEpi. This suggests that the profile is not an effect of the tumor, but may mark increased risk and reveal breast cancer''s earliest genomic changes.	GPL96	GEO	Histologically normal epithelium from breast cancer patients and cancer-free prophylactic mastectomy patients	Expression profiling by array
GSE20685	Taipei	Taiwan	Koo Foundation SYS Cancer Center	Public on Apr 24 2011	Jun 06 2022	Gene expression profiles of 327 breast cancer samples were determined using total RNA and Affymetrix U133 plus 2.0 arrays.	The primary goal of this study is to identify molecular subtypes of breast cancer through gene expression profiles of 327 breast cancer samples and determine molecular and clinical characteristics of different breast cancer subtypes. + We studied expression signatures of different cellular functions (e.g., cell proliferation/cell cycle, wound response, tumor stromal response, vascular endothelial normalization, drug esponse genes, etc.) in different breast cancer molecular subtypes and investigated how microarray-based breast cancer molecular subtypes may be used to guide treatment.	GPL570	GEO	Microarray-based molecular subtyping of breast cancer	Expression profiling by array
GSE20711	Toronto	Canada	Princess Margaret Cancer Centre	Public on Oct 19 2011	Jun 17 2021	92 bgene expression profiling reast cancer patients. Study of epigenetic variation (methylation) linked to gene expression. No replicate, no reference sample.  Two samples (Breast tumor from patient P_64 and Normal breast tissue N6) were of poor quality and were not processed for a final of 90 gene expression Samples.	Breast cancer is a molecularly, biologically and clinically heterogeneous group of disorders. Understanding this diversity is essential to improving diagnosis and optimising treatment. Both genetic and acquired epigenetic abnormalities participate in cancer, but information is scant on the involvement of the epigenome in breast cancer and its contribution to the complexity of the disease. Here we used the Infinium Methylation Platform to profile at single-CpG resolution (over 14,000 genes interrogated) the methylomes of 119 breast tumours. It emerges that many genes whose expression is linked to the ER status are epigenetically controlled (or/ we show that the two major phenotypes of breast cancers determined by ER status are widely involving epigenetic regulatory mechanisms), offering the prospect of a novel approach to treating ER-positive tumours. We have distinguished methylation-profile-based tumour clusters, some coinciding with known “expression subtypes” but also new entities that may provide a meaningful basis for refining breast tumour typology. We show that methylation patterns may reflect the cellular origins of tumours. Having highlighted an unexpectedly strong epigenetic component in the regulation of key immune pathways, we show that a set of immune genes have high prognostic value in specific tumour categories. By laying the ground for better understanding of breast cancer heterogeneity and improved tumour taxonomy, the precise epigenetic portraits drawn here should contribute to better management of breast cancer patients.	GPL570	GEO	Epigenetic portraits of human breast cancers (expression data)	Expression profiling by array
GSE21422	Berlin	Germany	Charité	Public on Apr 11 2011	Aug 19 2019	5 healthy tissue samples, 9 DCIS and 5 invasive ductal carcinomas were analysed.	Human healthy tissue samples, DCIS and invasive mammary tumors were analyzed in order to identify marker genes which show enhanced expresssion in DCIS and invasive ductal carcinomas. + Using this approach, we were able to identify a set of genes which might allow a better detection of DCIS and invasive carcinomas in the future.	GPL570	GEO	Expression profiling of human DCIS and invasive ductal breast carcinoma	Expression profiling by array
GSE21653	Marseille	France	Institut Paoli-Calmettes	Public on May 05 2010	Mar 25 2019	The IPC series contained frozen tumor samples obtained from 266 early breast cancer patients who underwent initial surgery in our institution between 1992 and 2004. They included 227 cases previously reported {Finetti, 2008 #1758} and 39 additional cases, all similarly profiled using Affymetrix U133 Plus 2.0 human oligonucleotide microarrays as previously described {Finetti, 2008 #1758}. The study was approved by the IPC review board, and informed consent was available for each case. Gene expression data of 266 BCs  were quantified by using whole-genome DNA microarrays (HG-U133 plus 2.0, Affymetrix).	Medullary breast cancers (MBC) display a basal profile, but a favorable prognosis. We hypothesized that a previously published 368-gene expression signature associated with MBC might serve to define a prognostic classifier in basal cancers. We collected public gene expression and histoclinical data of 2145 invasive early breast adenocarcinomas. We developed a Support Vector Machine (SVM) classifier based on this 368-gene list in a learning set, and tested its predictive performances in an independent validation set. Then, we assessed its prognostic value and that of six prognostic signatures for disease-free survival (DFS) in the remaining 2034 samples. The SVM model accurately classified all MBC samples in the learning and validation sets. A total of 466 cases were basal across other sets. The SVM classifier separated them into two subgroups, subgroup 1 (resembling MBC) and subgroup 2 (not resembling MBC). Subgroup 1 exhibited 71% 5-year DFS, whereas subgroup 2 exhibited 50% (p=9.93E-05). The classifier outperformed the classical prognostic variables in multivariate analysis, conferring lesser risk for relapse in subgroup 1 (HR=0.52, p=3.9E-04). This prognostic value was specific to the basal subtype, in which none of the other prognostic signatures was informative.	GPL570	GEO	A gene expression signature identifies two prognostic subgroups of basal breast cancer	Expression profiling by array
GSE21947	Boston	USA	Boston University School of Medicine	Public on Dec 07 2010	Aug 10 2018	30 total laser capture microdissected histologically normal breast tissue samples were analyzed with Affymetrix HU133A microarrays. All samples were age-matched between histologically normal epithelial samples from ER+ breast cancer patients (n=15) and histologically normal epithelial samples from ER- breast cancer patients (n=15). Sample numbers correspond to individual patient samples. +  + Of the 4 publicly available datasets mentioned above, the only dataset with a GEO number was GSE3494, corresponding to the Miller dataset.  The supplementary file below lists the 251 Samples used from the GSE3494 study.  We did not reanalyze the data - there was no change made to the Miller dataset; we only used these data for confirmation of our own dataset.	Background: We hypothesize that important genomic differences between breast cancer subtypes occur early in carcinogenesis. Therefore, gene expression might distinguish histologically normal breast epithelium (NlEpi) from breasts containing estrogen receptor positive (ER+) compared with estrogen receptor negative (ER-) cancers. + Methods: We examined gene expression in 46 cases of microdissected NlEpi from previously untreated women undergoing breast cancer surgery. From 30 age-matched cases (15 ER+, 15 ER-) we used Affymetryix U133A arrays. From 16 independent cases (9ER+, 7 ER-), we validated seven selected genes using qPCR. We then compared gene expression between NlEpi and invasive breast cancer using 4 publicly available datasets. + Results: 216 probes (corresponding to 198 unique genes) distinguished the NlEpi from breasts with ER+ (NlEpiER+) compared to ER- cancers (NlEpiER-). These include genes characteristic of ER+ and ER- cancers themselves, (e.g., ESR1, GATA3, and CX3CL1, FABP7, respectively). QPCR validated the microarray results in both a sampling of the 30 original cases (84%) and all of the 16 independent cases (77%). Gene expression in NlEpiER+ and NlEPIERNlEpiER- resembled gene expression in ER+ and ER- cancers, respectively: 36%-53% of the genes or probes examined in each the 4 external datasets overlapped between NlEpi and the corresponding cancer subtype. + Conclusions: Gene expression differs in NlEpi of breasts containing ER+ compared to ER- breast cancers.  These differences echo differences in ER+ and ER- invasive cancers. Thus, breast cancer subtypes may be detectable before histologic abnormalities. NlEpi gene expression may help define subtype-specific risk signatures, identify initial subtype specific genomic differences, and suggest new targets for subtype-specific prevention and therapy. +  + We determined that 216 probesets significantly differed between histologically normal epithelium from ER+ breast cancer patients and from ER- breast cancer patients, and that gene expression in each type of histologically normal epithelium resembles expression of the corresponding subtype of invasive breast cancer (i.e., ER+ or ER-). These findings suggest that characteristic features of breast cancer subtypes are detectable prior to any histologic abnormality. This suggestion has implications for understanding breast cancer biology and devising new tools for assessing breast cancer risk.	GPL96	GEO	Gene expression profiles of breast cancer subtypes are detectable in histologically normal breast epithelium	Expression profiling by array
GSE22093	Houston	USA	UT MD Anderson	Public on Dec 31 2010	Jun 06 2022	Pre-treatment FNA from primary tumors were obtained and RNA extracted and hybridized to afymetrix microarrays according to manufacturer protocol.	We assess if distinct biological processes might be associated with chemotherapy sensitivity in the different clinical subsets of breast cancers. + We performed gene set analysis (GSA) using functionally annotated gene sets corresponding to almost all known biological processes in ER-positive/HER2negative and ER-negative/HER2-negative breast cancer, respectively.	GPL96	GEO	Expression data from breast cancer FNA biopsies from patients	Expression profiling by array
GSE22513	Nashville	USA	Vanderbilt University Medical Center	Public on Jun 23 2010	Mar 25 2019	Tumor tissues from pretreatment needle biopsies from patients enrolled on a paclitaxel/radiation clinical trial were laser capture microdissected for RNA extraction and hybridization to Affymetrix microarrays. We analyzed one array (sample A) from duplicate samples from each patient. 14 subject, 2 replicates each.	The purpose of this study was to identify molecular markers of pathologic response to neoadjuvant paclitaxel/radiation treatment, protein and gene expression profiling were done on pretreatment biopsies.  Patients with high-risk, operable breast cancer were treated with three cycles of paclitaxel followed by concurrent paclitaxel/radiation. Tumor tissue from pretreatment biopsies was obtained from 19 of the 38 patients enrolled in the study. Protein and gene expression profiling were done on serial sections of the biopsies from patients that achieved a pathologic complete response (pCR) and compared to those with residual disease, non-pCR (NR).  Proteomic and validation immunohistochemical analyses revealed that α-defensins (DEFA) were overexpressed in tumors from patients with a pCR. Gene expression analysis revealed that MAP2, a microtubule-associated protein, had significantly higher levels of expression in patients achieving a pCR. Elevation of MAP2 in breast cancer cell lines led to increased paclitaxel sensitivity. Furthermore, expression of genes that are associated with the basal-like, triple-negative phenotype were enriched in tumors from patients with a pCR. Analysis of a larger panel of tumors from patients receiving presurgical taxane-based treatment showed that DEFA and MAP2 expression as well as histologic features of inflammation were all statistically associated with response to therapy at the time of surgery.  We show the utility of molecular profiling of pretreatment biopsies to discover markers of response. Our results suggest the potential use of immune signaling molecules such as DEFA as well as MAP2, a microtubule-associated protein, as tumor markers that associate with response to neoadjuvant taxane–based therapy.	GPL570	GEO	Markers of Taxane Sensitivity in Breast Cancer	Expression profiling by array
GSE22544	Augusta 	USA	Medical College of Georgia Cancer Center	Public on Jun 24 2010	Mar 25 2019	16 IDC samples analyzed with the U133 Plus 2.0 array compared to 4 normal control samples.	Introduction: A major challenge in the interpretation of genomic profiling data generated from breast cancer samples is the identification of driver genes as distinct from bystander genes which do not impact tumorigenesis. One way to assess the relative importance of alterations in the transcriptome profile is to combine complementary analyses that assess changes in the copy number alterations (CNAs). This integrated  analysis  permits the identification of genes with altered expression that map within specific chromosomal regions that demonstrate copy number alterations, providing a mechanistic approach to  identify the ''driver genes’. +  + Methods:  We have performed whole genome analysis of CNAs using the Affymetrix 250K Mapping array on 22 infiltrating ductal carcinoma samples (IDCs). Analysis of transcript expression alterations was performed using the Affymetrix U133 Plus2.0 array on 16 IDC samples. Twelve IDC samples were analyzed using both platforms and the data integrated. We also incorporated data from LOH analysis to identify genes showing loss of expression in LOH regions. +  + Results:  Copy number analysis results demarcated smaller boundaries for many previously reported CNAs, and in some cases, the CNAs were defined as more than a single contiguous event. Additionally, we were able to assign driver genes to these commonly reported regions using a rigorous methodology. For example, RAB25 showed a large increased expression in the tumors and mapped to the commonly reported amplification at 1q22. We also identified 5 genes in the 8q24 amplicon and TSEN4 in the 17q25 amplified region. LOH analysis confirmed some previously reported regions, and integration with copy number data determined that the detected LOH were copy neutral events. Finally, we have identified several RXR pathways that demonstrated down-regulation in IDC whose members may represent further targets of therapeutic intervention. +  + Conclusion: We have demonstrated the utility of the application of integrated analysis using high-resolution CGH and whole genome transcript analysis for detecting driver genes in IDC. The high resolution platform allowed a refined demarcation of CNAs, and gene expression profiling provided a mechanism to detect genes directly impacted by the CNA. This is the first report of LOH in IDC using a high resolution platform.	GPL570	GEO	Integration of transcript expression, copy number and LOH analysis of infiltrating ductal carcinoma of the breast: expression analysis	Expression profiling by array
GSE23720	Marseille	France	Institut Paoli-Calmettes	Public on Mar 01 2011	Oct 31 2019	Pre-treatment tumor tissues were collected from 197 patients with invasive adenocarcinomas. Patients underwent surgical biopsies or initial surgery at the Institut Paoli-Calmettes (IPC, Marseille, France) between 1987 and 2007. Each patient gave written informed consent and the study was approved by the IPC “Comité d’Orientation Stratégique”. Tumor samples were macrodissected and frozen in liquid nitrogen within 30 minutes of removal. Before RNA extraction, tumor sections were reviewed by two pathologists and contained more than 60% of tumor cells. Gene expression data of the 197 BCs were quantified using whole-genome DNA microarrays (HG-U133 Plus 2.0, Affymetrix).	Inflammatory breast cancer (IBC) is an aggressive form of BC poorly defined at the molecular level. We compared the molecular portraits of 63 IBC and 134 non-IBC (nIBC) clinical samples. Genomic imbalances of 49 IBCs and 124 nIBCs were determined using high-resolution array-comparative genomic hybridization, and mRNA expression profiles of 197 samples using whole-genome microarrays. Genomic profiles of IBCs were as heterogeneous as those of nIBCs, and globally relatively close. However, IBCs showed more frequent “complex” patterns and a higher percentage of genes with CNAs per sample. The number of altered regions was similar in both types, although some regions were altered more frequently and/or with higher amplitude in IBCs. Many genes were similarly altered in both types; however, more genes displayed recurrent amplifications in IBCs.	GPL570 + GPL9128	GEO	High-resolution comparative genomic hybridization of inflammatory breast cancer and identification of candidate genes	Expression profiling by array + Genome variation profiling by array
GSE23988	Houston	USA	UT MD Anderson	Public on Feb 07 2011	Jun 06 2022	Pre-treatment FNA from primary tumors were obtained and RNA extracted and hybridized to afymetrix microarrays according to manufacturer protocol.	This is Phase II Trial of 4courses of 5-fluorouracil, doxorubicin and cyclophosphamide follwed by 4 additional courses of weekly docetaxel and capecitabine administered as Preoperative Therapy for Patients with Locally Advanced Breast Cancer, Stages II and III by US oncology (PROTOCOL 02-103) + We performed gene set analysis (GSA) using functionally annotated gene sets corresponding to almost all known biological processes in ER-positive/HER2negative and ER-negative/HER2-negative breast cancer, respectively.	GPL96	GEO	Expression data from breast cancer FNA biopsies from patients (US samples)	Expression profiling by array
GSE24185	Houston	USA	Baylor College of Medicine	Public on Jul 18 2011	Aug 10 2018	Primary breast tumor specimens were obtained from patients. Study volunteers completed questionnaires used to define historically normal (BMI<=24.9), overweight (BMI 25-29.9), or obese (BMI>=30) patient categories according to established WHO criteria.	Obesity is thought to contribute to worse disease outcome in breast cancer as a result of increased levels of adipocyte-secreted endocrine factors, insulin, and insulin-like growth factors (IGFs) that accelerate tumor cell proliferation and impair treatment response. We examined the effects of patient obesity on primary breast tumor gene expression, by profiling transcription of a set of tumors for which the patients’ body mass index (BMI) was ascertained. Sample profiles were stratified according to patients’ obesity phenotype defined as normal (BMI <25), overweight (BMI 25-29.9), or obese (BMI>30).  Widespread alterations in gene expression were evident in breast tumors from obese patients as compared to tumors from other patients, allowing us to define an obesity-associated cancer transcriptional signature of 662 genes. +  + Keywords: two group comparison	GPL96	GEO	Gene transcription signature of obesity in breast cancer	Expression profiling by array
GSE25055	Woburn	USA	Nuvera Biosciences	Public on May 11 2011	Nov 02 2022	Neoadjuvant study of 310 HER2-negative breast cancer cases treated with taxane-anthracycline chemotherapy pre-operatively and endocrine therapy if ER-positive.  Response was assessed at the end of neoadjuvant treatment and distant-relapse-free survival was followed for at least 3 years post-surgery.	PURPOSE: To develop a predictive test for response and survival following neoadjuvant taxane-anthracycline chemotherapy for HER2-negative invasive breast cancer. + METHODS: We developed a microarray-based gene expression test from pre-treatment tumor biopsies (310 patients) to predict favorable outcome based on estrogen receptor (ER) status,pathologic response to chemotherapy, 3-year disease outcomes, and sensitivity to endocrine therapy. Tumors were classified as treatment-sensitive if predicted to have pathologic response (and not resistance) to chemotherapy, or sensitive to endocrine therapy. We tested predictive accuracy, with 95% confidence interval (CI), for pathologic response (PPV, positive predictive value), distant relapse-free survival (DRFS), and absolute risk reduction at median follow-up in 198 other patients. Independence from clinical-pathologic factors was assessed in a multivariate Cox regression analysis based on the likelihood ratio test. Other evaluable, published response predictors (genomic grade index (GGI), intrinsic subtype (PAM50), pCR predictor (DLDA30)) were compared.	GPL96	GEO	Discovery cohort for genomic predictor of response and survival following neoadjuvant taxane-anthracycline chemotherapy in breast cancer	Expression profiling by array
GSE25065	Woburn	USA	Nuvera Biosciences	Public on May 11 2011	Nov 02 2022	Neoadjuvant validation cohort of 198 HER2-negative breast cancer cases treated with taxane-anthracycline chemotherapy pre-operatively and endocrine therapy if ER-positive.  Response was assessed at the end of neoadjuvant treatment and distant-relapse-free survival was followed for at least 3 years post-surgery.	PURPOSE: To develop a predictive test for response and survival following neoadjuvant taxane-anthracycline chemotherapy for HER2-negative invasive breast cancer. + METHODS: We developed a microarray-based gene expression test from pre-treatment tumor biopsies (310 patients) to predict favorable outcome based on estrogen receptor (ER) status,pathologic response to chemotherapy, 3-year disease outcomes, and sensitivity to endocrine therapy. Tumors were classified as treatment-sensitive if predicted to have pathologic response (and not resistance) to chemotherapy, or sensitive to endocrine therapy. We tested predictive accuracy, with 95% confidence interval (CI), for pathologic response (PPV, positive predictive value), distant relapse-free survival (DRFS), and absolute risk reduction at median follow-up in 198 other patients. Independence from clinical-pathologic factors was assessed in a multivariate Cox regression analysis based on the likelihood ratio test. Other evaluable, published response predictors (genomic grade index (GGI), intrinsic subtype (PAM50), pCR predictor (DLDA30)) were compared.	GPL96	GEO	Validation cohort for genomic predictor of response and survival following neoadjuvant taxane-anthracycline chemotherapy in breast cancer	Expression profiling by array
GSE25407	Pittsburgh	USA	University of Pittsburgh	Public on Nov 17 2010	Mar 25 2019	Three examples of stage I breast tumor and 3 samples of breast reduction mammoplasty tissue were expanded as explant cultures for RNA extraction and hybridization to Affymetrix microarrays.	Breast tumorigenesis involves modulation of gene expression. + We used microarrays to detail the global program of gene expression underlying breast tumorigenesis.	GPL570	GEO	Expression data from breast tumors and reduction mammoplasty explants	Expression profiling by array
GSE2603	New York	USA	Memorial Sloan Kettering Cancer Center	Public on Jul 28 2005	Feb 05 2020	NA	Subpopulations of MDA-MB-231 that exhibit different metastatic tropisms when injected into immuno-deficient mice.  Also, a cohort of primary breast cancers surgically resected at the Memorial Sloan-Kettering Cancer Center (MSKCC). + Keywords Breast cancer + Keywords lung metastasis + Keywords: parallel sample	GPL96	GEO	Subpopulations of MDA-MB-231 and Primary Breast Cancers	Expression profiling by array
GSE26910	Torino	Italy	University of Turin	Public on Mar 31 2011	Mar 25 2019	6 samples of stroma surrounding invasive breast primary tumors; 6 matched samples of normal stroma. 6 samples of stroma surrounding invasive prostate primary tumors; 6 matched samples of normal stroma.	Primary tumor growth induces host tissue responses that are believed to support and promote tumor progression. Identification of the molecular characteristics of the tumor microenvironment and elucidation of its crosstalk with tumor cells may therefore be crucial for improving our understanding of the processes implicated in cancer progression, identifying potential therapeutic targets, and uncovering stromal gene expression signatures that may predict clinical outcome. A key issue to resolve, therefore, is whether the stromal response to tumor growth is largely a generic phenomenon, irrespective of the tumor type, or whether the response reflects tumor-specific properties. To address similarity or distinction of stromal gene expression changes during cancer progression, oligonucleotide-based Affymetrix microarray technology was used to compare the transcriptomes of laser-microdissected stromal cells derived from invasive human breast and prostate carcinoma. Invasive breast and prostate cancer-associated stroma was observed to display distinct transcriptomes, with a limited number of shared genes. Interestingly, both breast and prostate tumor-specific dysregulated stromal genes were observed to cluster breast and prostate cancer patients, respectively, into two distinct groups with statistically different clinical outcomes. By contrast, a gene signature that was common to the reactive stroma of both tumor types did not have survival predictive value. Univariate Cox analysis identified genes whose expression level was most strongly associated with patient survival. Taken together, these observations suggest that the tumor microenvironment displays distinct features according to the tumor type that provides survival-predictive value.	GPL570	GEO	Stromal molecular signatures of breast and prostate cancer	Expression profiling by array
GSE27562	Durham	USA	Duke University	Public on Mar 01 2011	Mar 25 2019	Peripheral blood mononuclear cell (PBMC) samples were collected from women with a suspect initial mammogram prior to undergoing a diagnostic biopsy procedure to determine whether the detected abnormality was benign or malignant. In total, we collected blood from 57 women with a diagnosis of breast cancer and 37 with a benign diagnosis. We also collected blood from 31 women with normal initial mammograms as negative controls and 15 breast cancer patients following surgery. All breast cancer patient samples were collected at the Duke University Medical Center (DUMC) under an institutional review board (IRB)-approved protocol (Duke eIRB#12025) after obtaining informed consent and were provided by Dr. Jeffrey Marks. PBMC samples from patients with various gastrointestinal cancers (n=15) were colelcted and stored at DUMC under IRB-approved protocols (Duke eIRB#12010 and 12025) and were provided by Dr. Jeffrey Marks. Peripheral blood leukocyte samples from patients with brain tumors (n=7) were provided by Dr. John Sampson and were collected by leukapheresis under Duke eIRB#00003877 and #00009403.	We analyzed gene expression in human peripheral blood mononuclear cells (PBMCs) from breast cancer patients, patients with benign breast abnormalities, healthy cancer-free individuals as well as patients with other types of cancer (gastrointestinal and brain cancers).	GPL570	GEO	Expression data from human PBMCs from breast cancer patients and controls	Expression profiling by array
GSE28821	Nashville	USA	Vanderbilt University	Public on Apr 25 2011	Mar 25 2019	Invasive mammary carcinoma of the breast surgical resection specimens were laser capture microdissected for RNA extraction and hybridization to Affymetrix microarrays.	The purpose of this study was to identify differentially expressed genes in laser-capture microdissected (LCM) invasive mammary carcinomas (IMCs).	GPL570	GEO	Laser-capture microdissected invasive micropapillary carcinomas of the breast	Expression profiling by array
